ingredients,reasons
Adrenaline,"Hormone from adrenal glands of hogs, cattle, and sheep. In medicine. Alternatives: synthetics."
Alanine, (See Amino Acids.)
Albumen," In eggs, milk, muscles, blood, and many vegetable tissues and fluids. In cosmetics, albumen is usually derived from egg whites and used as a coagulating agent. May cause allergic reaction. In cakes, cookies, candies, etc. Egg whites sometimes used in “clearing” wines. Derivative: Albumin."
Albumin, (See Albumen.)
Alcloxa, (See Allantoin.)
Aldioxa, (See Allantoin.)
Aliphatic Alcohol, (See Lanolin and Vitamin A.)
Allantoin," Uric acid from cows, most mammals. Also in many plants (especially comfrey). In cosmetics (especially creams and lotions) and used in treatment of wounds and ulcers. Derivatives: Alcloxa, Aldioxa. Alternatives: extract of comfrey root, synthetics."
Alligator Skin, (See Leather.)
Alpha-Hydroxy Acids," Any one of several acids used as an exfoliant and in anti-wrinkle products. Lactic acid may be animal-derived (see Lactic Acid). Alternatives: glycolic acid, citric acid, and salicylic acid are plant- or fruit-derived."
Ambergris, From whale intestines. Used as a fixative in making perfumes and as a flavoring in foods and beverages. Alternatives: synthetic or vegetable fixatives.
Amino Acids," The building blocks of protein in all animals and plants. In cosmetics, vitamins, supplements, shampoos, etc. Alternatives: synthetics, plant sources."
Aminosuccinate Acid, (See Aspartic Acid.)
Angora, Hair from the Angora rabbit or goat. Used in clothing. Alternatives: synthetic fibers.
Animal Fats and Oils," In foods, cosmetics, etc. Highly allergenic. Alternatives: olive oil, wheat germ oil, coconut oil, flaxseed oil, almond oil, safflower oil, etc."
Animal Hair," In some blankets, mattresses, brushes, furniture, etc. Alternatives: vegetable and synthetic fibers."
Arachidonic Acid," A liquid unsaturated fatty acid that is found in liver, brain, glands, and fat of animals and humans. Generally isolated from animal liver. Used in companion animal food for nutrition and in skin creams and lotions to soothe eczema and rashes. Alternatives: synthetics, aloe vera, tea tree oil, calendula ointment."
Arachidyl Proprionate, A wax that can be from animal fat. Alternatives: peanut or vegetable oil.
Bee Pollen," Microsporic grains in seed plants gathered by bees then collected from the legs of bees. Causes allergic reactions in some people. In nutritional supplements, shampoos, toothpastes, deodorants. Alternatives: synthetics, plant amino acids, pollen collected from plants."
Bee Products, Produced by bees for their own use. Bees are selectively bred. Culled bees are killed. A cheap sugar is substituted for their stolen honey. Millions die as a result. Their legs are often torn off by pollen-collection trapdoors.
Beeswax," Wax obtained from melting honeycomb with boiling water, straining it, and cooling it. From virgin bees. Very cheap and widely used. May be harmful to the skin. In lipsticks and many other cosmetics, especially face creams, lotions, mascara, eye creams and shadows, face makeup, nail whiteners, lip balms, etc. Derivatives: Cera Flava. Alternatives: paraffin, vegetable oils and fats, ceresin (aka ceresine, earth wax; made from the mineral ozokerite; replaces beeswax in cosmetics; also used to wax paper, to make polishing cloths, in dentistry for taking wax impressions, and in candle-making), carnauba wax (from the Brazilian palm tree; used in many cosmetics, including lipstick; rarely causes allergic reactions), candelilla wax (from candelilla plants; used in many cosmetics, including lipstick; also in the manufacture of rubber and phonograph records, in waterproofing and writing inks; no known toxicity), Japan wax (vegetable wax, Japan tallow; fat from the fruit of a tree grown in Japan and China)."
Honeycomb," Wax obtained from melting honeycomb with boiling water, straining it, and cooling it. From virgin bees. Very cheap and widely used. May be harmful to the skin. In lipsticks and many other cosmetics, especially face creams, lotions, mascara, eye creams and shadows, face makeup, nail whiteners, lip balms, etc. Derivatives: Cera Flava. Alternatives: paraffin, vegetable oils and fats, ceresin (aka ceresine, earth wax; made from the mineral ozokerite; replaces beeswax in cosmetics; also used to wax paper, to make polishing cloths, in dentistry for taking wax impressions, and in candle-making), carnauba wax (from the Brazilian palm tree; used in many cosmetics, including lipstick; rarely causes allergic reactions), candelilla wax (from candelilla plants; used in many cosmetics, including lipstick; also in the manufacture of rubber and phonograph records, in waterproofing and writing inks; no known toxicity), Japan wax (vegetable wax, Japan tallow; fat from the fruit of a tree grown in Japan and China)."
Biotin," In every living cell and in larger amounts in milk and yeast. Used as a texturizer in cosmetics, shampoos, and creams. Alternatives: plant sources."
Vitamin H," In every living cell and in larger amounts in milk and yeast. Used as a texturizer in cosmetics, shampoos, and creams. Alternatives: plant sources."
Vitamin B Factor," In every living cell and in larger amounts in milk and yeast. Used as a texturizer in cosmetics, shampoos, and creams. Alternatives: plant sources."
Blood," From any slaughtered animal. Used as adhesive in plywood, also found in cheese-making, foam rubber, intravenous feedings, and medicines. Possibly in foods such as lecithin. Alternatives: synthetics, plant sources."
Boar Bristles," Hair from wild or captive hogs. In “natural” toothbrushes and bath and shaving brushes. Alternatives: vegetable fibers, nylon, the peelu branch or peelu gum (Asian, available in the U.S.; its juice replaces toothpaste)."
Bone Char, Animal bone ash. Used in bone china and often to make sugar white. Serves as the charcoal used in aquarium filters. Alternatives: synthetic tribasic calcium phosphate.
Bone Meal," Crushed or ground animal bones. In some fertilizers. In some vitamins and supplements as a source of calcium. In toothpastes. Alternatives: plant mulch, vegetable compost, dolomite, clay, vegetarian vitamins."
Calciferol, (See Vitamin D.)
Calfskin, (See Leather.)
Caprylamine Oxide, (See Caprylic Acid.)
Capryl Betaine, (See Caprylic Acid.)
Caprylic Acid," A liquid fatty acid from cow’s or goat’s milk. Also from palm, coconut, and other plant oils. In perfumes, soaps. Derivatives: Caprylic Triglyceride, Caprylamine Oxide, Capryl Betaine. Alternatives: plant sources, especially coconut oil."
Caprylic Triglyceride, (See Caprylic Acid.)
Carbamide, (See Urea.)
Carmine," Red pigment from the crushed female cochineal insect. Reportedly, 70,000 beetles must be killed to produce one pound of this red dye. Used in cosmetics, shampoos, red apple sauce, and other foods (including red lollipops and food coloring). May cause allergic reaction. Alternatives: beet juice (used in powders, rouges, shampoos; no known toxicity), alkanet root (from the root of this herb-like tree; used as a red dye for inks, wines, lip balms, etc.; no known toxicity; can also be combined to make a copper or blue coloring). (See Colors.)"
Cochineal," Red pigment from the crushed female cochineal insect. Reportedly, 70,000 beetles must be killed to produce one pound of this red dye. Used in cosmetics, shampoos, red apple sauce, and other foods (including red lollipops and food coloring). May cause allergic reaction. Alternatives: beet juice (used in powders, rouges, shampoos; no known toxicity), alkanet root (from the root of this herb-like tree; used as a red dye for inks, wines, lip balms, etc.; no known toxicity; can also be combined to make a copper or blue coloring). (See Colors.)"
Carminic Acid," Red pigment from the crushed female cochineal insect. Reportedly, 70,000 beetles must be killed to produce one pound of this red dye. Used in cosmetics, shampoos, red apple sauce, and other foods (including red lollipops and food coloring). May cause allergic reaction. Alternatives: beet juice (used in powders, rouges, shampoos; no known toxicity), alkanet root (from the root of this herb-like tree; used as a red dye for inks, wines, lip balms, etc.; no known toxicity; can also be combined to make a copper or blue coloring). (See Colors.)"
Carminic Acid, (See Carmine.)
Carotene," A pigment found in many animal tissues and in all plants. When used as an additive, typically derived from plant sources. Used as a coloring in cosmetics and in the manufacture of vitamin A."
Provitamin A," A pigment found in many animal tissues and in all plants. When used as an additive, typically derived from plant sources. Used as a coloring in cosmetics and in the manufacture of vitamin A."
Beta Carotene," A pigment found in many animal tissues and in all plants. When used as an additive, typically derived from plant sources. Used as a coloring in cosmetics and in the manufacture of vitamin A."
Casein," Milk protein. In “nondairy” creamers, soy cheese, many cosmetics, hair preparations, beauty masks. Alternatives: soy protein, soy milk, and other vegetable milks."
Caseinate," Milk protein. In “nondairy” creamers, soy cheese, many cosmetics, hair preparations, beauty masks. Alternatives: soy protein, soy milk, and other vegetable milks."
Sodium Caseinate," Milk protein. In “nondairy” creamers, soy cheese, many cosmetics, hair preparations, beauty masks. Alternatives: soy protein, soy milk, and other vegetable milks."
Caseinate, (See Casein.)
Cashmere, Wool from the Kashmir goat. Used in clothing. Alternatives: synthetic fibers.
Castor," Creamy substance with strong odor, originally from muskrat and beaver genitals but now typically synthetic. Used as a fixative in perfume and incense. While some cosmetics companies continue to use animal castor, the majority do not."
Castoreum," Creamy substance with strong odor, originally from muskrat and beaver genitals but now typically synthetic. Used as a fixative in perfume and incense. While some cosmetics companies continue to use animal castor, the majority do not."
Castoreum, (See Castor.)
Catgut," Tough string from the intestines of sheep, horses, etc. Used for surgical sutures. Also for stringing tennis rackets, musical instruments, etc. Alternatives: nylon and other synthetic fibers."
Cera Flava, (See Beeswax.)
Cerebrosides," Fatty acids and sugars found in the covering of nerves. May be synthetic or of animal origin. When animal-derived, may include tissue from brain. Used in moisturizers."
Cetyl Alcohol," Wax originally found in spermaceti from sperm whales or dolphins but now most often derived from petroleum. Alternatives: vegetable cetyl alcohol (e.g., coconut), synthetic spermaceti."
Cetyl Palmitate, (See Spermaceti.)
Chitosan," A fiber derived from crustacean shells. Used as a lipid binder in diet products; hair, oral, and skin-care products; antiperspirants; and deodorants. Alternatives: raspberries, yams, legumes, dried apricots, many other fruits and vegetables."
Cholesterin, (See Lanolin.)
Cholesterol," A steroid alcohol in all animal fats and oils, nervous tissue, egg yolk, and blood. Can be derived from lanolin. In cosmetics, eye creams, shampoos, etc. Alternatives: solid complex alcohols (sterols) from plant sources."
Choline Bitartrate, (See Lecithin.)
Civet, Unctuous secretion painfully scraped from a gland very near the genital organs of civet cats. Used as a fixative in perfumes. Alternatives: (See alternatives to Musk.)
Cochineal, (See Carmine.)
Cod Liver Oil, (See Marine Oil.)
Collagen," Fibrous protein in vertebrates. Usually derived from animal tissue. Can’t affect the skin’s own collagen. An allergen. Alternatives: soy protein, almond oil, amla oil (see alternatives to Keratin), etc."
Colors," Pigments from animal, plant, and synthetic sources used to color foods, cosmetics, and other products. Cochineal is from insects. Widely used FD&C and D&C colors are coal-tar (bituminous coal) derivatives that are continuously tested on animals because of their carcinogenic properties. Alternatives: grapes, beets, turmeric, saffron, carrots, chlorophyll, annatto, alkanet."
